trace,thickness,thickness_user_lower,thickness_user_upper,thickness_user_std,thickness_user_nmad,thickness_user_count,temperate,temperate_user_lower,temperate_user_upper,temperate_user_std,temperate_user_nmad,temperate_user_count
2883,123.837952,122.558632,125.884865,4.279803,2.845079,10,120.511725,122.046907,114.115137,5.030176,6.069493,8.0
2889,123.5821,122.30278,125.629013,4.385819,2.845085,10,120.255874,121.791055,114.115149,5.033893,6.259164,8.0
2896,123.326241,122.046913,125.373138,4.458606,2.655416,10,120.000014,121.535196,113.859289,5.063878,6.448836,8.0
2903,122.814507,121.791046,125.117279,4.623595,2.655411,10,119.48828,121.023462,113.347555,5.095293,6.638508,8.0
2911,122.558632,121.535179,124.861412,4.725673,2.655399,10,119.232406,120.767587,113.091681,5.095293,6.638508,8.0
2918,122.30278,121.279327,124.605553,4.832445,2.655405,10,118.976554,120.511735,112.835829,5.128111,6.828179,8.0
2925,121.791046,121.02346,124.605553,4.967314,2.655394,10,118.46482,120.000001,112.324095,5.162306,6.828179,8.0
2932,121.535179,121.02346,124.349686,5.023736,2.845062,10,118.208953,119.744134,112.068228,5.19785,6.828179,8.0
2939,121.279327,120.767593,124.093826,5.105102,2.655394,10,117.953101,119.488283,111.812376,5.234717,6.828179,8.0
2946,120.767593,120.511742,123.837952,5.156638,2.465742,10,117.441367,118.976549,111.300642,5.234717,6.828179,8.0
2952,120.511742,120.255859,123.5821,5.23566,2.276068,10,117.185515,118.720697,111.04479,5.241413,6.638508,8.0
2959,120.255859,120.000008,123.326241,5.2895,2.276057,10,116.929633,118.464815,110.788908,5.280853,6.638508,8.0
2966,120.000008,119.744141,123.070366,5.302202,1.896719,10,116.673781,118.208963,110.533056,5.32154,6.638508,8.0
2972,119.744141,119.744141,122.814507,5.311249,1.896708,10,116.417914,117.953096,110.277189,5.32154,6.638508,8.0
2978,119.744141,119.488274,122.814507,5.308168,1.896719,10,116.417914,117.953096,110.277189,5.32154,6.638508,8.0
2986,119.744141,119.488274,122.558632,5.348643,2.276062,10,116.417914,117.953096,110.277189,5.280853,6.638508,8.0
2992,119.488274,119.488274,122.30278,5.351027,2.086394,10,116.162047,117.697229,110.021322,5.280853,6.638508,8.0
